scenario_id,company_id,name,parameters,result,created_at
SCN001,COMP001,Customer payment delayed 10 days,"{""delay_days"": 10, ""affected"": ""ALL""}","{""projected_cash_floor"": 54391203.48, ""minimum_cash_reserve"": 50000000, ""liquidity_status"": ""WARNING"", ""recommended_action"": ""USE_FINANCING""}",2025-08-09
SCN002,COMP001,Receivable probability drops 20%,"{""probability_reduction"": 0.2}","{""projected_cash_floor"": 18202978.36, ""minimum_cash_reserve"": 50000000, ""liquidity_status"": ""CRITICAL"", ""recommended_action"": ""DRAW_LINE_OF_CREDIT""}",2025-11-20
SCN003,COMP001,Unexpected expense +₹5 Cr,"{""additional_expense"": 50000000}","{""projected_cash_floor"": 51062658.6, ""minimum_cash_reserve"": 50000000, ""liquidity_status"": ""CRITICAL"", ""recommended_action"": ""DELAY_PAYMENTS_AND_FINANCE""}",2025-02-15
SCN004,COMP001,Supplier payments increase 15%,"{""increase_pct"": 15}","{""projected_cash_floor"": 15661590.03, ""minimum_cash_reserve"": 50000000, ""liquidity_status"": ""WARNING"", ""recommended_action"": ""NEGOTIATE_TERMS""}",2025-10-25
SCN005,COMP001,Interest rate +2%,"{""rate_increase"": 0.02}","{""projected_cash_floor"": 130098182.56, ""minimum_cash_reserve"": 50000000, ""liquidity_status"": ""STABLE"", ""recommended_action"": ""REFINANCE""}",2025-09-21
SCN006,COMP001,Major customer defaults ₹10 Cr,"{""default_amount"": 100000000, ""customer_id"": ""CUST003""}","{""projected_cash_floor"": 53340369.5, ""minimum_cash_reserve"": 50000000, ""liquidity_status"": ""CRITICAL"", ""recommended_action"": ""EMERGENCY_FINANCING""}",2025-07-31
SCN007,COMP001,All receivables collected on time,"{""collection_probability_override"": 1.0}","{""projected_cash_floor"": 320526134.53, ""minimum_cash_reserve"": 50000000, ""liquidity_status"": ""HEALTHY"", ""recommended_action"": ""CAPTURE_DISCOUNTS""}",2025-06-21
SCN008,COMP001,OpEx rises 25%,"{""opex_increase_pct"": 25}","{""projected_cash_floor"": 12618518.59, ""minimum_cash_reserve"": 50000000, ""liquidity_status"": ""WARNING"", ""recommended_action"": ""COST_REDUCTION""}",2025-11-11
SCN009,COMP001,New ₹20Cr contract signed,"{""contract_value"": 200000000, ""schedule"": ""monthly""}","{""projected_cash_floor"": 208998071.39, ""minimum_cash_reserve"": 50000000, ""liquidity_status"": ""HEALTHY"", ""recommended_action"": ""INVEST_SURPLUS""}",2025-04-29
SCN010,COMP001,INR weakens 5%,"{""depreciation_pct"": 5}","{""projected_cash_floor"": 19128180.56, ""minimum_cash_reserve"": 50000000, ""liquidity_status"": ""WARNING"", ""recommended_action"": ""HEDGE_CURRENCY""}",2025-10-12
SCN011,COMP001,Credit limit cut 50%,"{""credit_reduction_pct"": 50}","{""projected_cash_floor"": 53182541.68, ""minimum_cash_reserve"": 50000000, ""liquidity_status"": ""CRITICAL"", ""recommended_action"": ""SEEK_ALTERNATIVE_FINANCING""}",2025-08-07
SCN012,COMP001,Two critical suppliers demand early pay,"{""early_payment_days"": 15, ""suppliers"": [""SUP001"", ""SUP003""]}","{""projected_cash_floor"": 14757755.6, ""minimum_cash_reserve"": 50000000, ""liquidity_status"": ""WARNING"", ""recommended_action"": ""NEGOTIATE_OR_FINANCE""}",2025-10-15
SCN013,COMP001,Tax liability ₹8Cr due next month,"{""tax_amount"": 80000000, ""due_in_days"": 30}","{""projected_cash_floor"": 16302260.16, ""minimum_cash_reserve"": 50000000, ""liquidity_status"": ""CRITICAL"", ""recommended_action"": ""RESERVE_CASH""}",2025-01-26
SCN014,COMP001,Best-case: high collections + low opex,"{""collection_boost_pct"": 30, ""opex_reduction_pct"": 20}","{""projected_cash_floor"": 186704106.99, ""minimum_cash_reserve"": 50000000, ""liquidity_status"": ""HEALTHY"", ""recommended_action"": ""EARLY_PAY_AND_INVEST""}",2025-09-29
SCN015,COMP001,Worst-case scenario,"{""collection_reduction_pct"": 40, ""opex_increase_pct"": 30}","{""projected_cash_floor"": 8531638.12, ""minimum_cash_reserve"": 50000000, ""liquidity_status"": ""CRITICAL"", ""recommended_action"": ""EMERGENCY_MEASURES""}",2025-04-18
