scenario_id,company_id,name,parameters,result,created_at
SCN001,COMP001,Customer payment delayed 10 days,"{""delay_days"": 10, ""affected"": ""ALL""}","{""projected_cash_floor"": 6639861.47, ""minimum_cash_reserve"": 50000000, ""liquidity_status"": ""WARNING"", ""recommended_action"": ""USE_FINANCING""}",2025-06-19
SCN002,COMP001,Receivable probability drops 20%,"{""probability_reduction"": 0.2}","{""projected_cash_floor"": 57941495.87, ""minimum_cash_reserve"": 50000000, ""liquidity_status"": ""CRITICAL"", ""recommended_action"": ""DRAW_LINE_OF_CREDIT""}",2025-07-02
SCN003,COMP001,Unexpected expense +₹5 Cr,"{""additional_expense"": 50000000}","{""projected_cash_floor"": 17631757.84, ""minimum_cash_reserve"": 50000000, ""liquidity_status"": ""CRITICAL"", ""recommended_action"": ""DELAY_PAYMENTS_AND_FINANCE""}",2025-10-03
SCN004,COMP001,Supplier payments increase 15%,"{""increase_pct"": 15}","{""projected_cash_floor"": 12285044.32, ""minimum_cash_reserve"": 50000000, ""liquidity_status"": ""WARNING"", ""recommended_action"": ""NEGOTIATE_TERMS""}",2025-01-23
SCN005,COMP001,Interest rate +2%,"{""rate_increase"": 0.02}","{""projected_cash_floor"": 64147136.68, ""minimum_cash_reserve"": 50000000, ""liquidity_status"": ""STABLE"", ""recommended_action"": ""REFINANCE""}",2025-06-13
SCN006,COMP001,Major customer defaults ₹10 Cr,"{""default_amount"": 100000000, ""customer_id"": ""CUST003""}","{""projected_cash_floor"": 29735603.69, ""minimum_cash_reserve"": 50000000, ""liquidity_status"": ""CRITICAL"", ""recommended_action"": ""EMERGENCY_FINANCING""}",2025-05-25
SCN007,COMP001,All receivables collected on time,"{""collection_probability_override"": 1.0}","{""projected_cash_floor"": 163520982.97, ""minimum_cash_reserve"": 50000000, ""liquidity_status"": ""HEALTHY"", ""recommended_action"": ""CAPTURE_DISCOUNTS""}",2025-06-23
SCN008,COMP001,OpEx rises 25%,"{""opex_increase_pct"": 25}","{""projected_cash_floor"": 21657529.63, ""minimum_cash_reserve"": 50000000, ""liquidity_status"": ""WARNING"", ""recommended_action"": ""COST_REDUCTION""}",2025-10-23
SCN009,COMP001,New ₹20Cr contract signed,"{""contract_value"": 200000000, ""schedule"": ""monthly""}","{""projected_cash_floor"": 356985012.34, ""minimum_cash_reserve"": 50000000, ""liquidity_status"": ""HEALTHY"", ""recommended_action"": ""INVEST_SURPLUS""}",2025-09-18
SCN010,COMP001,INR weakens 5%,"{""depreciation_pct"": 5}","{""projected_cash_floor"": 52133133.38, ""minimum_cash_reserve"": 50000000, ""liquidity_status"": ""WARNING"", ""recommended_action"": ""HEDGE_CURRENCY""}",2025-05-22
SCN011,COMP001,Credit limit cut 50%,"{""credit_reduction_pct"": 50}","{""projected_cash_floor"": 58528508.56, ""minimum_cash_reserve"": 50000000, ""liquidity_status"": ""CRITICAL"", ""recommended_action"": ""SEEK_ALTERNATIVE_FINANCING""}",2025-07-22
SCN012,COMP001,Two critical suppliers demand early pay,"{""early_payment_days"": 15, ""suppliers"": [""SUP001"", ""SUP003""]}","{""projected_cash_floor"": 56222352.98, ""minimum_cash_reserve"": 50000000, ""liquidity_status"": ""WARNING"", ""recommended_action"": ""NEGOTIATE_OR_FINANCE""}",2025-04-27
SCN013,COMP001,Tax liability ₹8Cr due next month,"{""tax_amount"": 80000000, ""due_in_days"": 30}","{""projected_cash_floor"": 57499823.59, ""minimum_cash_reserve"": 50000000, ""liquidity_status"": ""CRITICAL"", ""recommended_action"": ""RESERVE_CASH""}",2025-03-19
SCN014,COMP001,Best-case: high collections + low opex,"{""collection_boost_pct"": 30, ""opex_reduction_pct"": 20}","{""projected_cash_floor"": 160037958.36, ""minimum_cash_reserve"": 50000000, ""liquidity_status"": ""HEALTHY"", ""recommended_action"": ""EARLY_PAY_AND_INVEST""}",2025-03-31
SCN015,COMP001,Worst-case scenario,"{""collection_reduction_pct"": 40, ""opex_increase_pct"": 30}","{""projected_cash_floor"": 36535515.56, ""minimum_cash_reserve"": 50000000, ""liquidity_status"": ""CRITICAL"", ""recommended_action"": ""EMERGENCY_MEASURES""}",2025-12-24
